ID,Country,Hash,Office,PDF,Autocad,Database,Image,Archive,Purchase total decrypt,Purchase malware immune,Purchase removal tool,Purchase single decrypt,Free decrypt
USF42-EAZTZ-TZTZT-ZTZYY,US,1000170,0,0,0,0,0,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTRZZ-ZYYYY,US,1000170,0,0,0,0,0,2000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTAZZ-ZYYYY,US,1000170,0,0,0,0,0,4000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTFZZ-ZYYYY,US,1000170,0,0,0,0,0,6000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTEZZ-ZYYYY,US,1000170,0,0,0,0,0,8000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXZZ-ZZYYY,US,1000170,0,0,0,0,0,10000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRZ-ZZYYY,US,1000170,0,0,0,0,0,12000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXAZ-ZZYYY,US,1000170,0,0,0,0,0,14000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXFZ-ZZYYY,US,1000170,0,0,0,0,0,16000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXEZ-ZZYYY,US,1000170,0,0,0,0,0,18000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTRZZ-ZZYYY,US,1000170,0,0,0,0,0,20000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTRRZ-ZZYYY,US,1000170,0,0,0,0,0,22000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTRAZ-ZZYYY,US,1000170,0,0,0,0,0,24000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTRFZ-ZZYYY,US,1000170,0,0,0,0,0,26000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTREZ-ZZYYY,US,1000170,0,0,0,0,0,28000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTOZZ-ZZYYY,US,1000170,0,0,0,0,0,30000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTORZ-ZZYYY,US,1000170,0,0,0,0,0,32000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTOAZ-ZZYYY,US,1000170,0,0,0,0,0,34000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTOFZ-ZZYYY,US,1000170,0,0,0,0,0,36000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTOEZ-ZZYYY,US,1000170,0,0,0,0,0,38000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTAZZ-ZZYYY,US,1000170,0,0,0,0,0,40000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTARZ-ZZYYY,US,1000170,0,0,0,0,0,42000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTAAZ-ZZYYY,US,1000170,0,0,0,0,0,44000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTAFZ-ZZYYY,US,1000170,0,0,0,0,0,46000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTAEZ-ZZYYY,US,1000170,0,0,0,0,0,48000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTHZZ-ZZYYY,US,1000170,0,0,0,0,0,50000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTHRZ-ZZYYY,US,1000170,0,0,0,0,0,52000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTHAZ-ZZYYY,US,1000170,0,0,0,0,0,54000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTHFZ-ZZYYY,US,1000170,0,0,0,0,0,56000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTHEZ-ZZYYY,US,1000170,0,0,0,0,0,58000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTFZZ-ZZYYY,US,1000170,0,0,0,0,0,60000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTFAZ-ZZYYY,US,1000170,0,0,0,0,0,64000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTFFZ-ZZYYY,US,1000170,0,0,0,0,0,66000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTFEZ-ZZYYY,US,1000170,0,0,0,0,0,68000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTGZZ-ZZYYY,US,1000170,0,0,0,0,0,70000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTGRZ-ZZYYY,US,1000170,0,0,0,0,0,72000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTGAZ-ZZYYY,US,1000170,0,0,0,0,0,74000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTGFZ-ZZYYY,US,1000170,0,0,0,0,0,76000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTGEZ-ZZYYY,US,1000170,0,0,0,0,0,78000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTEZZ-ZZYYY,US,1000170,0,0,0,0,0,80000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTERZ-ZZYYY,US,1000170,0,0,0,0,0,82000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTEAZ-ZZYYY,US,1000170,0,0,0,0,0,84000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTEFZ-ZZYYY,US,1000170,0,0,0,0,0,86000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTEEZ-ZZYYY,US,1000170,0,0,0,0,0,88000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTKZZ-ZZYYY,US,1000170,0,0,0,0,0,90000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTKRZ-ZZYYY,US,1000170,0,0,0,0,0,92000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTKAZ-ZZYYY,US,1000170,0,0,0,0,0,94000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTKFZ-ZZYYY,US,1000170,0,0,0,0,0,96000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTKEZ-ZZYYY,US,1000170,0,0,0,0,0,98000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXZZ-ZZZYY,US,1000170,0,0,0,0,0,100000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXZR-ZZZYY,US,1000170,0,0,0,0,0,102000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXZA-ZZZYY,US,1000170,0,0,0,0,0,104000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXZF-ZZZYY,US,1000170,0,0,0,0,0,106000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXZE-ZZZYY,US,1000170,0,0,0,0,0,108000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXZ-ZZZYY,US,1000170,0,0,0,0,0,110000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXR-ZZZYY,US,1000170,0,0,0,0,0,112000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXA-ZZZYY,US,1000170,0,0,0,0,0,114000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXF-ZZZYY,US,1000170,0,0,0,0,0,116000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXE-ZZZYY,US,1000170,0,0,0,0,0,118000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRZ-ZZZYY,US,1000170,0,0,0,0,0,120000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRR-ZZZYY,US,1000170,0,0,0,0,0,122000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRA-ZZZYY,US,1000170,0,0,0,0,0,124000,140,30,30,40,2
