ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
US56F-C8ZTZ-TRREH-ZTZTZ-TZYYY;US;0x56fc8;0;0;22850;0;0;0;140;30;30;40;2
US56F-C8ZTZ-TRRKG-HTZTZ-TZYYY;US;0x56fc8;0;0;22975;0;0;0;140;30;30;40;2
US56F-C8ZTZ-TRRKE-OTZTZ-TZYYY;US;0x56fc8;0;0;22983;0;0;0;140;30;30;40;2
US56F-C8ZTZ-TRRKE-HTZTZ-TZYYY;US;0x56fc8;0;0;22985;0;0;0;141;30;30;40;2
US56F-C8ZTZ-TRRKE-GTZTZ-TZYYY;US;0x56fc8;0;0;22987;0;0;0;141;30;30;40;2
US56F-C8ZTZ-TRRKK-XTZTZ-TZYYY;US;0x56fc8;0;0;22991;0;0;0;141;30;30;40;2
US56F-C8ZTZ-TROZZ-GTZTZ-TZYYY;US;0x56fc8;0;0;23007;0;0;0;141;30;30;40;2
US56F-C8ZTZ-TROZO-ETZTZ-TZYYY;US;0x56fc8;0;0;23038;0;0;0;141;30;30;40;2
US56F-C8ZTZ-TROXZ-ZTZTZ-TZYYY;US;0x56fc8;0;0;23100;0;0;0;141;30;30;40;2
US56F-C8ZTZ-TROXA-KTZTZ-TZYYY;US;0x56fc8;0;0;23149;0;0;0;141;30;30;40;2
US56F-C8ZTZ-TROXH-ZTZTZ-TZYYY;US;0x56fc8;0;0;23150;0;0;0;142;30;30;40;2
US56F-C8ZTZ-TROXH-XTZTZ-TZYYY;US;0x56fc8;0;0;23151;0;0;0;142;30;30;40;2
US56F-C8ZTZ-TROXH-OTZTZ-TZYYY;US;0x56fc8;0;0;23153;0;0;0;142;30;30;40;2
US56F-C8ZTZ-TROXH-GTZTZ-TZYYY;US;0x56fc8;0;0;23157;0;0;0;142;30;30;40;2
US56F-C8ZTZ-TROXE-ETZTZ-TZYYY;US;0x56fc8;0;0;23188;0;0;0;142;30;30;40;2
US56F-C8ZTZ-TRORH-ZTZTZ-TZYYY;US;0x56fc8;0;0;23250;0;0;0;142;30;30;40;2
US56F-C8ZTZ-TRORG-HTZTZ-TZYYY;US;0x56fc8;0;0;23275;0;0;0;142;30;30;40;2
US56F-C8ZTZ-TROOZ-GTZTZ-TZYYY;US;0x56fc8;0;0;23307;0;0;0;142;30;30;40;2
US56F-C8ZTZ-TROOR-OTZTZ-TZYYY;US;0x56fc8;0;0;23323;0;0;0;142;30;30;40;2
