ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
US56F-C6ZTZ-TZTRG-HZZTZ-TZYYY;US;0x56fc6;0;0;0;27500;0;0;140;30;30;40;2
US56F-C6ZTZ-TZTRG-HFRTZ-TZYYY;US;0x56fc6;0;0;0;27562;0;0;140;30;30;40;2
US56F-C6ZTZ-TZTRG-HGETZ-TZYYY;US;0x56fc6;0;0;0;27578;0;0;140;30;30;40;2
US56F-C6ZTZ-TZTRG-HGKTZ-TZYYY;US;0x56fc6;0;0;0;27579;0;0;140;30;30;40;2
US56F-C6ZTZ-TZTRG-HEZTZ-TZYYY;US;0x56fc6;0;0;0;27580;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-HERTZ-TZYYY;US;0x56fc6;0;0;0;27582;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-HEFTZ-TZYYY;US;0x56fc6;0;0;0;27586;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-HKATZ-TZYYY;US;0x56fc6;0;0;0;27594;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-FRHTZ-TZYYY;US;0x56fc6;0;0;0;27625;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-GZATZ-TZYYY;US;0x56fc6;0;0;0;27704;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-GHZTZ-TZYYY;US;0x56fc6;0;0;0;27750;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-GFGTZ-TZYYY;US;0x56fc6;0;0;0;27767;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-GGHTZ-TZYYY;US;0x56fc6;0;0;0;27775;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-GGKTZ-TZYYY;US;0x56fc6;0;0;0;27779;0;0;141;30;30;40;2
US56F-C6ZTZ-TZTRG-GEZTZ-TZYYY;US;0x56fc6;0;0;0;27780;0;0;142;30;30;40;2
US56F-C6ZTZ-TZTRG-GEXTZ-TZYYY;US;0x56fc6;0;0;0;27781;0;0;142;30;30;40;2
US56F-C6ZTZ-TZTRG-GEOTZ-TZYYY;US;0x56fc6;0;0;0;27783;0;0;142;30;30;40;2
US56F-C6ZTZ-TZTRG-GKETZ-TZYYY;US;0x56fc6;0;0;0;27798;0;0;142;30;30;40;2
US56F-C6ZTZ-TZTRG-ERKTZ-TZYYY;US;0x56fc6;0;0;0;27829;0;0;142;30;30;40;2
US56F-C6ZTZ-TZTRG-KZHTZ-TZYYY;US;0x56fc6;0;0;0;27905;0;0;142;30;30;40;2
US56F-C6ZTZ-TZTRG-KFETZ-TZYYY;US;0x56fc6;0;0;0;27968;0;0;142;30;30;40;2
US56F-C6ZTZ-TZTRG-KKKTZ-TZYYY;US;0x56fc6;0;0;0;27999;0;0;142;30;30;40;2
US56F-C6ZTZ-TZTRE-ZZZTZ-TZYYY;US;0x56fc6;0;0;0;28000;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-ZZXTZ-TZYYY;US;0x56fc6;0;0;0;28001;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-ZZOTZ-TZYYY;US;0x56fc6;0;0;0;28003;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-ZZGTZ-TZYYY;US;0x56fc6;0;0;0;28007;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-ZXHTZ-TZYYY;US;0x56fc6;0;0;0;28015;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-ZOZTZ-TZYYY;US;0x56fc6;0;0;0;28030;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-XRHTZ-TZYYY;US;0x56fc6;0;0;0;28125;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-XEETZ-TZYYY;US;0x56fc6;0;0;0;28188;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-XKFTZ-TZYYY;US;0x56fc6;0;0;0;28196;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-XKETZ-TZYYY;US;0x56fc6;0;0;0;28198;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-XKKTZ-TZYYY;US;0x56fc6;0;0;0;28199;0;0;143;30;30;40;2
US56F-C6ZTZ-TZTRE-RZZTZ-TZYYY;US;0x56fc6;0;0;0;28200;0;0;144;30;30;40;2
US56F-C6ZTZ-TZTRE-RZATZ-TZYYY;US;0x56fc6;0;0;0;28204;0;0;144;30;30;40;2
US56F-C6ZTZ-TZTRE-RXKTZ-TZYYY;US;0x56fc6;0;0;0;28219;0;0;144;30;30;40;2
US56F-C6ZTZ-TZTRE-RHZTZ-TZYYY;US;0x56fc6;0;0;0;28250;0;0;144;30;30;40;2
US56F-C6ZTZ-TZTRE-ORATZ-TZYYY;US;0x56fc6;0;0;0;28324;0;0;144;30;30;40;2
US56F-C6ZTZ-TZTRE-OEGTZ-TZYYY;US;0x56fc6;0;0;0;28387;0;0;144;30;30;40;2
US56F-C6ZTZ-TZTRE-OKHTZ-TZYYY;US;0x56fc6;0;0;0;28395;0;0;144;30;30;40;2
US56F-C6ZTZ-TZTRE-OKKTZ-TZYYY;US;0x56fc6;0;0;0;28399;0;0;144;30;30;40;2
US56F-C6ZTZ-TZTRE-AZZTZ-TZYYY;US;0x56fc6;0;0;0;28400;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-AZXTZ-TZYYY;US;0x56fc6;0;0;0;28401;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-AZOTZ-TZYYY;US;0x56fc6;0;0;0;28403;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-AXETZ-TZYYY;US;0x56fc6;0;0;0;28418;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-AAKTZ-TZYYY;US;0x56fc6;0;0;0;28449;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-HRHTZ-TZYYY;US;0x56fc6;0;0;0;28525;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-HEETZ-TZYYY;US;0x56fc6;0;0;0;28588;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-HKFTZ-TZYYY;US;0x56fc6;0;0;0;28596;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-HKETZ-TZYYY;US;0x56fc6;0;0;0;28598;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-HKKTZ-TZYYY;US;0x56fc6;0;0;0;28599;0;0;145;30;30;40;2
US56F-C6ZTZ-TZTRE-FZZTZ-TZYYY;US;0x56fc6;0;0;0;28600;0;0;146;30;30;40;2
US56F-C6ZTZ-TZTRE-FZATZ-TZYYY;US;0x56fc6;0;0;0;28604;0;0;146;30;30;40;2
US56F-C6ZTZ-TZTRE-FXKTZ-TZYYY;US;0x56fc6;0;0;0;28619;0;0;146;30;30;40;2
US56F-C6ZTZ-TZTRE-FHZTZ-TZYYY;US;0x56fc6;0;0;0;28650;0;0;146;30;30;40;2
US56F-C6ZTZ-TZTRE-GRATZ-TZYYY;US;0x56fc6;0;0;0;28724;0;0;146;30;30;40;2
US56F-C6ZTZ-TZTRE-GEGTZ-TZYYY;US;0x56fc6;0;0;0;28787;0;0;146;30;30;40;2
US56F-C6ZTZ-TZTRE-GKHTZ-TZYYY;US;0x56fc6;0;0;0;28795;0;0;146;30;30;40;2
US56F-C6ZTZ-TZTRE-GKKTZ-TZYYY;US;0x56fc6;0;0;0;28799;0;0;146;30;30;40;2
US56F-C6ZTZ-TZTRE-EZZTZ-TZYYY;US;0x56fc6;0;0;0;28800;0;0;147;30;30;40;2
US56F-C6ZTZ-TZTRE-EZXTZ-TZYYY;US;0x56fc6;0;0;0;28801;0;0;147;30;30;40;2
US56F-C6ZTZ-TZTRE-EZOTZ-TZYYY;US;0x56fc6;0;0;0;28803;0;0;147;30;30;40;2
US56F-C6ZTZ-TZTRE-EXETZ-TZYYY;US;0x56fc6;0;0;0;28818;0;0;147;30;30;40;2
US56F-C6ZTZ-TZTRE-EAKTZ-TZYYY;US;0x56fc6;0;0;0;28849;0;0;147;30;30;40;2
US56F-C6ZTZ-TZTRE-KRHTZ-TZYYY;US;0x56fc6;0;0;0;28925;0;0;147;30;30;40;2
US56F-C6ZTZ-TZTRE-KEETZ-TZYYY;US;0x56fc6;0;0;0;28988;0;0;147;30;30;40;2
US56F-C6ZTZ-TZTRK-ZXKTZ-TZYYY;US;0x56fc6;0;0;0;29019;0;0;147;30;30;40;2
US56F-C6ZTZ-TZTRK-ZRZTZ-TZYYY;US;0x56fc6;0;0;0;29020;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-ZRXTZ-TZYYY;US;0x56fc6;0;0;0;29021;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-ZROTZ-TZYYY;US;0x56fc6;0;0;0;29023;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-ZRGTZ-TZYYY;US;0x56fc6;0;0;0;29027;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-ZOHTZ-TZYYY;US;0x56fc6;0;0;0;29035;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-ZHZTZ-TZYYY;US;0x56fc6;0;0;0;29050;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-XAHTZ-TZYYY;US;0x56fc6;0;0;0;29145;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-RZETZ-TZYYY;US;0x56fc6;0;0;0;29208;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-RXFTZ-TZYYY;US;0x56fc6;0;0;0;29216;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-RXETZ-TZYYY;US;0x56fc6;0;0;0;29218;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-RXKTZ-TZYYY;US;0x56fc6;0;0;0;29219;0;0;148;30;30;40;2
US56F-C6ZTZ-TZTRK-RRZTZ-TZYYY;US;0x56fc6;0;0;0;29220;0;0;149;30;30;40;2
US56F-C6ZTZ-TZTRK-RRATZ-TZYYY;US;0x56fc6;0;0;0;29224;0;0;149;30;30;40;2
US56F-C6ZTZ-TZTRK-ROKTZ-TZYYY;US;0x56fc6;0;0;0;29239;0;0;149;30;30;40;2
US56F-C6ZTZ-TZTRK-RGZTZ-TZYYY;US;0x56fc6;0;0;0;29270;0;0;149;30;30;40;2
US56F-C6ZTZ-TZTRK-OAATZ-TZYYY;US;0x56fc6;0;0;0;29344;0;0;149;30;30;40;2
US56F-C6ZTZ-TZTRK-AZGTZ-TZYYY;US;0x56fc6;0;0;0;29407;0;0;149;30;30;40;2
US56F-C6ZTZ-TZTRK-AXHTZ-TZYYY;US;0x56fc6;0;0;0;29415;0;0;149;30;30;40;2
US56F-C6ZTZ-TZTRK-AXKTZ-TZYYY;US;0x56fc6;0;0;0;29419;0;0;149;30;30;40;2
US56F-C6ZTZ-TZTRK-ARZTZ-TZYYY;US;0x56fc6;0;0;0;29420;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-ARXTZ-TZYYY;US;0x56fc6;0;0;0;29421;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-AROTZ-TZYYY;US;0x56fc6;0;0;0;29423;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-AOETZ-TZYYY;US;0x56fc6;0;0;0;29438;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-AFKTZ-TZYYY;US;0x56fc6;0;0;0;29469;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-HAHTZ-TZYYY;US;0x56fc6;0;0;0;29545;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-FZETZ-TZYYY;US;0x56fc6;0;0;0;29608;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-FXFTZ-TZYYY;US;0x56fc6;0;0;0;29616;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-FXETZ-TZYYY;US;0x56fc6;0;0;0;29618;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-FXKTZ-TZYYY;US;0x56fc6;0;0;0;29619;0;0;150;30;30;40;2
US56F-C6ZTZ-TZTRK-FRZTZ-TZYYY;US;0x56fc6;0;0;0;29620;0;0;151;30;30;40;2
US56F-C6ZTZ-TZTRK-FRATZ-TZYYY;US;0x56fc6;0;0;0;29624;0;0;151;30;30;40;2
US56F-C6ZTZ-TZTRK-FOKTZ-TZYYY;US;0x56fc6;0;0;0;29639;0;0;151;30;30;40;2
US56F-C6ZTZ-TZTRK-FGZTZ-TZYYY;US;0x56fc6;0;0;0;29670;0;0;151;30;30;40;2
US56F-C6ZTZ-TZTRK-GAATZ-TZYYY;US;0x56fc6;0;0;0;29744;0;0;151;30;30;40;2
US56F-C6ZTZ-TZTRK-EZGTZ-TZYYY;US;0x56fc6;0;0;0;29807;0;0;151;30;30;40;2
US56F-C6ZTZ-TZTRK-EOETZ-TZYYY;US;0x56fc6;0;0;0;29838;0;0;151;30;30;40;2
US56F-C6ZTZ-TZTRK-EOKTZ-TZYYY;US;0x56fc6;0;0;0;29839;0;0;151;30;30;40;2
US56F-C6ZTZ-TZTRK-EAZTZ-TZYYY;US;0x56fc6;0;0;0;29840;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTRK-EARTZ-TZYYY;US;0x56fc6;0;0;0;29842;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTRK-EAFTZ-TZYYY;US;0x56fc6;0;0;0;29846;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTRK-EHATZ-TZYYY;US;0x56fc6;0;0;0;29854;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTRK-EFKTZ-TZYYY;US;0x56fc6;0;0;0;29869;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTRK-KFATZ-TZYYY;US;0x56fc6;0;0;0;29964;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZZZTZ-TZYYY;US;0x56fc6;0;0;0;30000;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOZTZ-TZYYY;US;0x56fc6;0;0;0;30030;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOXTZ-TZYYY;US;0x56fc6;0;0;0;30031;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZORTZ-TZYYY;US;0x56fc6;0;0;0;30032;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOOTZ-TZYYY;US;0x56fc6;0;0;0;30033;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOATZ-TZYYY;US;0x56fc6;0;0;0;30034;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOHTZ-TZYYY;US;0x56fc6;0;0;0;30035;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOFTZ-TZYYY;US;0x56fc6;0;0;0;30036;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOGTZ-TZYYY;US;0x56fc6;0;0;0;30037;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOETZ-TZYYY;US;0x56fc6;0;0;0;30038;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZOKTZ-TZYYY;US;0x56fc6;0;0;0;30039;0;0;152;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZAZTZ-TZYYY;US;0x56fc6;0;0;0;30040;0;0;153;30;30;40;2
US56F-C6ZTZ-TZTOZ-ZAXTZ-TZYYY;US;0x56fc6;0;0;0;30041;0;0;153;30;30;40;2
US56F-C6ZTZ-TZTOZ-XRHTZ-TZYYY;US;0x56fc6;0;0;0;30125;0;0;153;30;30;40;2
US56F-C6ZTZ-TZTOZ-XEETZ-TZYYY;US;0x56fc6;0;0;0;30188;0;0;153;30;30;40;2
US56F-C6ZTZ-TZTOZ-RXKTZ-TZYYY;US;0x56fc6;0;0;0;30219;0;0;153;30;30;40;2
US56F-C6ZTZ-TZTOZ-ROHTZ-TZYYY;US;0x56fc6;0;0;0;30235;0;0;153;30;30;40;2
US56F-C6ZTZ-TZTOZ-ROKTZ-TZYYY;US;0x56fc6;0;0;0;30239;0;0;153;30;30;40;2
US56F-C6ZTZ-TZTOZ-RAZTZ-TZYYY;US;0x56fc6;0;0;0;30240;0;0;154;30;30;40;2
US56F-C6ZTZ-TZTOZ-RAXTZ-TZYYY;US;0x56fc6;0;0;0;30241;0;0;154;30;30;40;2
US56F-C6ZTZ-TZTOZ-RAOTZ-TZYYY;US;0x56fc6;0;0;0;30243;0;0;154;30;30;40;2
US56F-C6ZTZ-TZTOZ-RHZTZ-TZYYY;US;0x56fc6;0;0;0;30250;0;0;154;30;30;40;2
US56F-C6ZTZ-TZTOZ-OFHTZ-TZYYY;US;0x56fc6;0;0;0;30365;0;0;154;30;30;40;2
US56F-C6ZTZ-TZTOZ-ARETZ-TZYYY;US;0x56fc6;0;0;0;30428;0;0;154;30;30;40;2
