ID,Country,Hash,Office,PDF,Autocad,Database,Image,Archive,Purchase total decrypt,Purchase malware immune,Purchase removal tool,Purchase single decrypt,Free decrypt
USF42-EAZTZ-TZTZT-ZTZYY,US,1000170,0,0,0,0,0,0,140,30,30,40,2
USF42-EAZTZ-TZTRZ-ZZTZT-ZYYYY,US,1000170,0,0,0,2000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTAZ-ZZTZT-ZYYYY,US,1000170,0,0,0,4000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTFZ-ZZTZT-ZYYYY,US,1000170,0,0,0,6000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTEZ-ZZTZT-ZYYYY,US,1000170,0,0,0,8000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTXZ-ZZZTZ-TZYYY,US,1000170,0,0,0,10000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTXR-ZZZTZ-TZYYY,US,1000170,0,0,0,12000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTXA-ZZZTZ-TZYYY,US,1000170,0,0,0,14000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTXF-ZZZTZ-TZYYY,US,1000170,0,0,0,16000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTXE-ZZZTZ-TZYYY,US,1000170,0,0,0,18000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTRZ-ZZZTZ-TZYYY,US,1000170,0,0,0,20000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTRR-ZZZTZ-TZYYY,US,1000170,0,0,0,22000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTRA-ZZZTZ-TZYYY,US,1000170,0,0,0,24000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTRF-ZZZTZ-TZYYY,US,1000170,0,0,0,26000,0,0,140,30,30,40,2
USF42-EAZTZ-TZTRE-ZZZTZ-TZYYY,US,1000170,0,0,0,28000,0,0,143,30,30,40,2
USF42-EAZTZ-TZTOZ-ZZZTZ-TZYYY,US,1000170,0,0,0,30000,0,0,152,30,30,40,2
USF42-EAZTZ-TZTOR-ZZZTZ-TZYYY,US,1000170,0,0,0,32000,0,0,162,30,30,40,2
USF42-EAZTZ-TZTOA-ZZZTZ-TZYYY,US,1000170,0,0,0,34000,0,0,172,30,30,40,2
USF42-EAZTZ-TZTOF-ZZZTZ-TZYYY,US,1000170,0,0,0,36000,0,0,182,30,30,40,2
USF42-EAZTZ-TZTOE-ZZZTZ-TZYYY,US,1000170,0,0,0,38000,0,0,192,30,30,40,2
USF42-EAZTZ-TZTAZ-ZZZTZ-TZYYY,US,1000170,0,0,0,40000,0,0,201,30,30,40,2
USF42-EAZTZ-TZTAR-ZZZTZ-TZYYY,US,1000170,0,0,0,42000,0,0,211,30,30,40,2
USF42-EAZTZ-TZTAA-ZZZTZ-TZYYY,US,1000170,0,0,0,44000,0,0,221,30,30,40,2
USF42-EAZTZ-TZTAF-ZZZTZ-TZYYY,US,1000170,0,0,0,46000,0,0,231,30,30,40,2
USF42-EAZTZ-TZTAE-ZZZTZ-TZYYY,US,1000170,0,0,0,48000,0,0,241,30,30,40,2
USF42-EAZTZ-TZTHZ-ZZZTZ-TZYYY,US,1000170,0,0,0,50000,0,0,250,30,30,40,2
USF42-EAZTZ-TZTHR-ZZZTZ-TZYYY,US,1000170,0,0,0,52000,0,0,255,30,30,40,2
USF42-EAZTZ-TZTHA-ZZZTZ-TZYYY,US,1000170,0,0,0,54000,0,0,264,30,30,40,2
USF42-EAZTZ-TZTHF-ZZZTZ-TZYYY,US,1000170,0,0,0,56000,0,0,274,30,30,40,2
USF42-EAZTZ-TZTHE-ZZZTZ-TZYYY,US,1000170,0,0,0,58000,0,0,284,30,30,40,2
USF42-EAZTZ-TZTFZ-ZZZTZ-TZYYY,US,1000170,0,0,0,60000,0,0,293,30,30,40,2
USF42-EAZTZ-TZTFR-ZZZTZ-TZYYY,US,1000170,0,0,0,62000,0,0,303,30,30,40,2
USF42-EAZTZ-TZTFA-ZZZTZ-TZYYY,US,1000170,0,0,0,64000,0,0,312,30,30,40,2
USF42-EAZTZ-TZTFF-ZZZTZ-TZYYY,US,1000170,0,0,0,66000,0,0,322,30,30,40,2
USF42-EAZTZ-TZTFE-ZZZTZ-TZYYY,US,1000170,0,0,0,68000,0,0,332,30,30,40,2
USF42-EAZTZ-TZTGZ-ZZZTZ-TZYYY,US,1000170,0,0,0,70000,0,0,341,30,30,40,2
USF42-EAZTZ-TZTGR-ZZZTZ-TZYYY,US,1000170,0,0,0,72000,0,0,351,30,30,40,3
