ID,Country,Hash,Office,PDF,Autocad,Database,Image,Archive,Purchase total decrypt,Purchase malware immune,Purchase removal tool,Purchase single decrypt,Free decrypt
USF42-EAZTZ-TZTZT-ZTZYY,US,1000170,0,0,0,0,0,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-RZZZT-ZYYYY,US,1000170,0,0,0,0,2000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-AZZZT-ZYYYY,US,1000170,0,0,0,0,4000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-FZZZT-ZYYYY,US,1000170,0,0,0,0,6000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-EZZZT-ZYYYY,US,1000170,0,0,0,0,8000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-XZZZZ-TZYYY,US,1000170,0,0,0,0,10000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-XRZZZ-TZYYY,US,1000170,0,0,0,0,12000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-XAZZZ-TZYYY,US,1000170,0,0,0,0,14000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-XFZZZ-TZYYY,US,1000170,0,0,0,0,16000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-XEZZZ-TZYYY,US,1000170,0,0,0,0,18000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-RZZZZ-TZYYY,US,1000170,0,0,0,0,20000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-RRZZZ-TZYYY,US,1000170,0,0,0,0,22000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-RAZZZ-TZYYY,US,1000170,0,0,0,0,24000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-RFZZZ-TZYYY,US,1000170,0,0,0,0,26000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-REZZZ-TZYYY,US,1000170,0,0,0,0,28000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-OZZZZ-TZYYY,US,1000170,0,0,0,0,30000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-ORZZZ-TZYYY,US,1000170,0,0,0,0,32000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-OAZZZ-TZYYY,US,1000170,0,0,0,0,34000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-OFZZZ-TZYYY,US,1000170,0,0,0,0,36000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-OEZZZ-TZYYY,US,1000170,0,0,0,0,38000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-AZZZZ-TZYYY,US,1000170,0,0,0,0,40000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-ARZZZ-TZYYY,US,1000170,0,0,0,0,42000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-AAZZZ-TZYYY,US,1000170,0,0,0,0,44000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-AFZZZ-TZYYY,US,1000170,0,0,0,0,46000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-AEZZZ-TZYYY,US,1000170,0,0,0,0,48000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-HZZZZ-TZYYY,US,1000170,0,0,0,0,50000,0,140,30,30,40,2
USF42-EAZTZ-TZTZT-HRZZZ-TZYYY,US,1000170,0,0,0,0,52000,0,140,30,30,40,2
