ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
US46F-C4XKR-EHTZT-ZTZTZ-TZYYY;NO;0x46fc4;19285;0;0;0;0;0;140;30;30;40;2
US46F-C4XKR-EFTZT-ZTZTZ-TZYYY;US;0x46fc4;19286;0;0;0;0;0;141;30;30;40;2
US46F-C4XKO-FFTZT-ZTZTZ-TZYYY;US;0x46fc4;19366;0;0;0;0;0;141;30;30;40;2
US46F-C4XKA-ZFTZT-ZTZTZ-TZYYY;US;0x46fc4;19406;0;0;0;0;0;141;30;30;40;2
US46F-C4XKA-RFTZT-ZTZTZ-TZYYY;US;0x46fc4;19426;0;0;0;0;0;141;30;30;40;2
US46F-C4XKA-RETZT-ZTZTZ-TZYYY;US;0x46fc4;19428;0;0;0;0;0;141;30;30;40;2
US46F-C4XKA-RKTZT-ZTZTZ-TZYYY;US;0x46fc4;19429;0;0;0;0;0;142;30;30;40;2
US46F-C4XKA-OXTZT-ZTZTZ-TZYYY;US;0x46fc4;19431;0;0;0;0;0;142;30;30;40;2
US46F-C4XKA-OFTZT-ZTZTZ-TZYYY;US;0x46fc4;19436;0;0;0;0;0;142;30;30;40;2
US46F-C4XKA-AFTZT-ZTZTZ-TZYYY;US;0x46fc4;19446;0;0;0;0;0;142;30;30;40;2
US46F-C4XKH-ZKTZT-ZTZTZ-TZYYY;US;0x46fc4;19509;0;0;0;0;0;142;30;30;40;2
US46F-C4XKH-AKTZT-ZTZTZ-TZYYY;US;0x46fc4;19549;0;0;0;0;0;142;30;30;40;2
US46F-C4XKH-FKTZT-ZTZTZ-TZYYY;US;0x46fc4;19569;0;0;0;0;0;142;30;30;40;2
US46F-C4XKH-GXTZT-ZTZTZ-TZYYY;US;0x46fc4;19571;0;0;0;0;0;142;30;30;40;2
US46F-C4XKH-GRTZT-ZTZTZ-TZYYY;US;0x46fc4;19572;0;0;0;0;0;143;30;30;40;2
US46F-C4XKH-GATZT-ZTZTZ-TZYYY;US;0x46fc4;19574;0;0;0;0;0;143;30;30;40;2
US46F-C4XKH-GKTZT-ZTZTZ-TZYYY;US;0x46fc4;19579;0;0;0;0;0;143;30;30;40;2
US46F-C4XKH-EKTZT-ZTZTZ-TZYYY;US;0x46fc4;19589;0;0;0;0;0;143;30;30;40;2
US46F-C4XKF-HRTZT-ZTZTZ-TZYYY;US;0x46fc4;19652;0;0;0;0;0;143;30;30;40;2
US46F-C4XKF-KRTZT-ZTZTZ-TZYYY;US;0x46fc4;19692;0;0;0;0;0;143;30;30;40;2
US46F-C4XKG-XRTZT-ZTZTZ-TZYYY;US;0x46fc4;19712;0;0;0;0;0;143;30;30;40;2
US46F-C4XKG-XATZT-ZTZTZ-TZYYY;US;0x46fc4;19714;0;0;0;0;0;143;30;30;40;2
US46F-C4XKG-XHTZT-ZTZTZ-TZYYY;US;0x46fc4;19715;0;0;0;0;0;144;30;30;40;2
US46F-C4XKG-XGTZT-ZTZTZ-TZYYY;US;0x46fc4;19717;0;0;0;0;0;144;30;30;40;2
US46F-C4XKG-RRTZT-ZTZTZ-TZYYY;US;0x46fc4;19722;0;0;0;0;0;144;30;30;40;2
US46F-C4XKG-ORTZT-ZTZTZ-TZYYY;US;0x46fc4;19732;0;0;0;0;0;144;30;30;40;2
US46F-C4XKG-KHTZT-ZTZTZ-TZYYY;US;0x46fc4;19795;0;0;0;0;0;144;30;30;40;2
US46F-C4XKE-OHTZT-ZTZTZ-TZYYY;US;0x46fc4;19835;0;0;0;0;0;144;30;30;40;2
US46F-C4XKE-HHTZT-ZTZTZ-TZYYY;US;0x46fc4;19855;0;0;0;0;0;144;30;30;40;2
US46F-C4XKE-HGTZT-ZTZTZ-TZYYY;US;0x46fc4;19857;0;0;0;0;0;144;30;30;40;2
US46F-C4XKE-HETZT-ZTZTZ-TZYYY;US;0x46fc4;19858;0;0;0;0;0;145;30;30;40;2
US46F-C4XKE-FZTZT-ZTZTZ-TZYYY;US;0x46fc4;19860;0;0;0;0;0;145;30;30;40;2
US46F-C4XKE-FHTZT-ZTZTZ-TZYYY;US;0x46fc4;19865;0;0;0;0;0;145;30;30;40;2
US46F-C4XKE-GHTZT-ZTZTZ-TZYYY;US;0x46fc4;19875;0;0;0;0;0;145;30;30;40;2
US46F-C4XKK-OETZT-ZTZTZ-TZYYY;US;0x46fc4;19938;0;0;0;0;0;145;30;30;40;2
US46F-C4XKK-GETZT-ZTZTZ-TZYYY;US;0x46fc4;19978;0;0;0;0;0;145;30;30;40;2
US46F-C4XKK-KETZT-ZTZTZ-TZYYY;US;0x46fc4;19998;0;0;0;0;0;145;30;30;40;2
US46F-C4RZZ-ZZTZT-ZTZTZ-TZYYY;US;0x46fc4;20000;0;0;0;0;0;146;30;30;40;2
US46F-C4RZZ-ZXTZT-ZTZTZ-TZYYY;US;0x46fc4;20001;0;0;0;0;0;143;30;30;40;2
US46F-C4RZZ-ZOTZT-ZTZTZ-TZYYY;US;0x46fc4;20003;0;0;0;0;0;143;30;30;40;2
US46F-C4RZZ-ZETZT-ZTZTZ-TZYYY;US;0x46fc4;20008;0;0;0;0;0;143;30;30;40;2
US46F-C4RZZ-XETZT-ZTZTZ-TZYYY;US;0x46fc4;20018;0;0;0;0;0;143;30;30;40;2
US46F-C4RZZ-EXTZT-ZTZTZ-TZYYY;US;0x46fc4;20081;0;0;0;0;0;143;30;30;40;2
US46F-C4RZX-RXTZT-ZTZTZ-TZYYY;US;0x46fc4;20121;0;0;0;0;0;143;30;30;40;2
US46F-C4RZX-AXTZT-ZTZTZ-TZYYY;US;0x46fc4;20141;0;0;0;0;0;143;30;30;40;2
US46F-C4RZX-ARTZT-ZTZTZ-TZYYY;US;0x46fc4;20142;0;0;0;0;0;143;30;30;40;2
US46F-C4RZX-AOTZT-ZTZTZ-TZYYY;US;0x46fc4;20143;0;0;0;0;0;144;30;30;40;2
US46F-C4RZX-AATZT-ZTZTZ-TZYYY;US;0x46fc4;20144;0;0;0;0;0;144;30;30;40;2
US46F-C4RZX-AFTZT-ZTZTZ-TZYYY;US;0x46fc4;20146;0;0;0;0;0;144;30;30;40;2
US46F-C4RZX-HXTZT-ZTZTZ-TZYYY;US;0x46fc4;20151;0;0;0;0;0;144;30;30;40;2
US46F-C4RZX-FXTZT-ZTZTZ-TZYYY;US;0x46fc4;20161;0;0;0;0;0;144;30;30;40;2
US46F-C4RZR-RRTZT-ZTZTZ-TZYYY;US;0x46fc4;20222;0;0;0;0;0;144;30;30;40;2
US46F-C4RZR-FRTZT-ZTZTZ-TZYYY;US;0x46fc4;20262;0;0;0;0;0;144;30;30;40;2
US46F-C4RZR-ERTZT-ZTZTZ-TZYYY;US;0x46fc4;20282;0;0;0;0;0;144;30;30;40;2
US46F-C4RZR-EHTZT-ZTZTZ-TZYYY;US;0x46fc4;20285;0;0;0;0;0;144;30;30;40;2
US46F-C4RZR-EFTZT-ZTZTZ-TZYYY;US;0x46fc4;20286;0;0;0;0;0;145;30;30;40;2
US46F-C4RZR-EGTZT-ZTZTZ-TZYYY;US;0x46fc4;20287;0;0;0;0;0;145;30;30;40;2
US46F-C4RZR-KRTZT-ZTZTZ-TZYYY;US;0x46fc4;20292;0;0;0;0;0;145;30;30;40;2
US46F-C4RZO-ZRTZT-ZTZTZ-TZYYY;US;0x46fc4;20302;0;0;0;0;0;145;30;30;40;2
US46F-C4RZO-FFTZT-ZTZTZ-TZYYY;US;0x46fc4;20366;0;0;0;0;0;145;30;30;40;2
US46F-C4RZA-ZFTZT-ZTZTZ-TZYYY;US;0x46fc4;20406;0;0;0;0;0;145;30;30;40;2
US46F-C4RZA-RFTZT-ZTZTZ-TZYYY;US;0x46fc4;20426;0;0;0;0;0;145;30;30;40;2
US46F-C4RZA-RETZT-ZTZTZ-TZYYY;US;0x46fc4;20428;0;0;0;0;0;145;30;30;40;2
US46F-C4RZA-RKTZT-ZTZTZ-TZYYY;US;0x46fc4;20429;0;0;0;0;0;146;30;30;40;2
US46F-C4RZA-OXTZT-ZTZTZ-TZYYY;US;0x46fc4;20431;0;0;0;0;0;146;30;30;40;2
US46F-C4RZA-OFTZT-ZTZTZ-TZYYY;US;0x46fc4;20436;0;0;0;0;0;146;30;30;40;2
US46F-C4RZA-AFTZT-ZTZTZ-TZYYY;US;0x46fc4;20446;0;0;0;0;0;146;30;30;40;2
US46F-C4RZH-ZKTZT-ZTZTZ-TZYYY;US;0x46fc4;20509;0;0;0;0;0;146;30;30;40;2
US46F-C4RZH-AKTZT-ZTZTZ-TZYYY;US;0x46fc4;20549;0;0;0;0;0;146;30;30;40;2
US46F-C4RZH-FKTZT-ZTZTZ-TZYYY;US;0x46fc4;20569;0;0;0;0;0;146;30;30;40;2
US46F-C4RZH-GXTZT-ZTZTZ-TZYYY;US;0x46fc4;20571;0;0;0;0;0;146;30;30;40;2
US46F-C4RZH-GRTZT-ZTZTZ-TZYYY;US;0x46fc4;20572;0;0;0;0;0;147;30;30;40;2
US46F-C4RZH-GATZT-ZTZTZ-TZYYY;US;0x46fc4;20574;0;0;0;0;0;147;30;30;40;2
US46F-C4RZH-GKTZT-ZTZTZ-TZYYY;US;0x46fc4;20579;0;0;0;0;0;147;30;30;40;2
