ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
IT46F-C2XKE-HETZT-ZTZTZ-TZYYY;IT;0x46fc2;19858;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-HKTZT-ZTZTZ-TZYYY;IT;0x46fc2;19859;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FZTZT-ZTZTZ-TZYYY;IT;0x46fc2;19860;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FXTZT-ZTZTZ-TZYYY;IT;0x46fc2;19861;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FRTZT-ZTZTZ-TZYYY;IT;0x46fc2;19862;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FOTZT-ZTZTZ-TZYYY;IT;0x46fc2;19863;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FATZT-ZTZTZ-TZYYY;IT;0x46fc2;19864;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FHTZT-ZTZTZ-TZYYY;IT;0x46fc2;19865;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FFTZT-ZTZTZ-TZYYY;IT;0x46fc2;19866;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FGTZT-ZTZTZ-TZYYY;IT;0x46fc2;19867;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FETZT-ZTZTZ-TZYYY;IT;0x46fc2;19868;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-FKTZT-ZTZTZ-TZYYY;IT;0x46fc2;19869;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-GZTZT-ZTZTZ-TZYYY;IT;0x46fc2;19870;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-GXTZT-ZTZTZ-TZYYY;IT;0x46fc2;19871;0;0;0;0;0;145;30;30;40;2
IT46F-C2XKE-GRTZT-ZTZTZ-TZYYY;IT;0x46fc2;19872;0;0;0;0;0;145;30;30;40;2
