ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
NO46F-C1ZTX-EZZZT-XEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;18000;0;0;0;235;30;30;40;2
NO46F-C1ZTX-EZZZT-ROZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;23000;0;0;0;264;30;30;40;2
NO46F-C1ZTX-EZZZT-REZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;28000;0;0;0;294;30;30;40;2
NO46F-C1ZTX-EZZZT-OOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;33000;0;0;0;316;30;30;40;2
NO46F-C1ZTX-EZZZT-OEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;38000;0;0;0;345;30;30;40;2
NO46F-C1ZTX-EZZZT-AOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;43000;0;0;0;374;30;30;40;3
NO46F-C1ZTX-EZZZT-AEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;48000;0;0;0;403;30;30;40;3
NO46F-C1ZTX-EZZZT-HOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;53000;0;0;0;432;30;30;40;3
NO46F-C1ZTX-EZZZT-HEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;58000;0;0;0;460;30;30;40;3
NO46F-C1ZTX-EZZZT-FOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;63000;0;0;0;489;30;30;40;3
NO46F-C1ZTX-EZZZT-FEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;68000;0;0;0;518;30;30;40;4
NO46F-C1ZTX-EZZZT-GOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;73000;0;0;0;547;30;30;40;4
NO46F-C1ZTX-EZZZT-GEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;78000;0;0;0;560;30;30;40;4
NO46F-C1ZTX-EZZZT-EOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;83000;0;0;0;560;30;30;40;4
NO46F-C1ZTX-EZZZT-EEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;88000;0;0;0;560;30;30;40;4
NO46F-C1ZTX-EZZZT-KOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;93000;0;0;0;560;30;30;40;4
NO46F-C1ZTX-EZZZT-KEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;18000;98000;0;0;0;560;30;30;40;4
NO46F-C1ZTX-EZZZT-XZOZZ-ZTZTZ-TZYYY;NO;0x46fc1;0;18000;103000;0;0;0;560;30;30;40;4
NO46F-C1ZTX-EZZZT-XZEZZ-ZTZTZ-TZYYY;NO;0x46fc1;0;18000;108000;0;0;0;560;30;30;40;4
NO46F-C1ZTX-EZZZT-XXOZZ-ZTZTZ-TZYYY;NO;0x46fc1;0;18000;113000;0;0;0;560;30;30;40;4
NO46F-C1ZTX-EZZZT-XXEZZ-ZTZTZ-TZYYY;NO;0x46fc1;0;18000;118000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-XEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;18000;0;0;0;269;30;30;40;2
NO46F-C1ZTR-OZZZT-ROZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;23000;0;0;0;298;30;30;40;2
NO46F-C1ZTR-OZZZT-REZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;28000;0;0;0;321;30;30;40;2
NO46F-C1ZTR-OZZZT-OOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;33000;0;0;0;350;30;30;40;2
NO46F-C1ZTR-OZZZT-OEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;38000;0;0;0;379;30;30;40;3
NO46F-C1ZTR-OZZZT-AOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;43000;0;0;0;408;30;30;40;3
NO46F-C1ZTR-OZZZT-AEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;48000;0;0;0;436;30;30;40;3
NO46F-C1ZTR-OZZZT-HOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;53000;0;0;0;465;30;30;40;3
NO46F-C1ZTR-OZZZT-HEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;58000;0;0;0;494;30;30;40;3
NO46F-C1ZTR-OZZZT-FOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;63000;0;0;0;523;30;30;40;4
NO46F-C1ZTR-OZZZT-FEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;68000;0;0;0;552;30;30;40;4
NO46F-C1ZTR-OZZZT-GOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;73000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-GEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;78000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-EOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;83000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-EEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;88000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-KOZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;93000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-KEZZZ-TZTZT-ZYYYY;NO;0x46fc1;0;23000;98000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-XZOZZ-ZTZTZ-TZYYY;NO;0x46fc1;0;23000;103000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-XZEZZ-ZTZTZ-TZYYY;NO;0x46fc1;0;23000;108000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-XXOZZ-ZTZTZ-TZYYY;NO;0x46fc1;0;23000;113000;0;0;0;560;30;30;40;4
NO46F-C1ZTR-OZZZT-XXEZZ-ZTZTZ-TZYYY;NO;0x46fc1;0;23000;118000;0;0;0;560;30;30;40;4
