ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
US56F-C8ZTX-KREHT-ZTZTZ-TZYYY;US;0x56fc8;0;19285;0;0;0;0;140;30;30;40;2
US56F-C8ZTX-KOEHT-ZTZTZ-TZYYY;US;0x56fc8;0;19385;0;0;0;0;141;30;30;40;2
US56F-C8ZTX-KAXZT-ZTZTZ-TZYYY;US;0x56fc8;0;19410;0;0;0;0;141;30;30;40;2
US56F-C8ZTX-KAROT-ZTZTZ-TZYYY;US;0x56fc8;0;19423;0;0;0;0;141;30;30;40;2
US56F-C8ZTX-KARFT-ZTZTZ-TZYYY;US;0x56fc8;0;19426;0;0;0;0;141;30;30;40;2
US56F-C8ZTX-KARET-ZTZTZ-TZYYY;US;0x56fc8;0;19428;0;0;0;0;141;30;30;40;2
US56F-C8ZTX-KARKT-ZTZTZ-TZYYY;US;0x56fc8;0;19429;0;0;0;0;142;30;30;40;2
US56F-C8ZTX-KAOHT-ZTZTZ-TZYYY;US;0x56fc8;0;19435;0;0;0;0;142;30;30;40;2
US56F-C8ZTX-KAEHT-ZTZTZ-TZYYY;US;0x56fc8;0;19485;0;0;0;0;142;30;30;40;2
US56F-C8ZTX-KHRKT-ZTZTZ-TZYYY;US;0x56fc8;0;19529;0;0;0;0;142;30;30;40;2
US56F-C8ZTX-KHHAT-ZTZTZ-TZYYY;US;0x56fc8;0;19554;0;0;0;0;142;30;30;40;2
US56F-C8ZTX-KHFGT-ZTZTZ-TZYYY;US;0x56fc8;0;19567;0;0;0;0;142;30;30;40;2
US56F-C8ZTX-KHGZT-ZTZTZ-TZYYY;US;0x56fc8;0;19570;0;0;0;0;142;30;30;40;2
US56F-C8ZTX-KHGXT-ZTZTZ-TZYYY;US;0x56fc8;0;19571;0;0;0;0;142;30;30;40;2
US56F-C8ZTX-KHGRT-ZTZTZ-TZYYY;US;0x56fc8;0;19572;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KHGOT-ZTZTZ-TZYYY;US;0x56fc8;0;19573;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KHGKT-ZTZTZ-TZYYY;US;0x56fc8;0;19579;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KFRKT-ZTZTZ-TZYYY;US;0x56fc8;0;19629;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KFGXT-ZTZTZ-TZYYY;US;0x56fc8;0;19671;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KFKFT-ZTZTZ-TZYYY;US;0x56fc8;0;19696;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KGZKT-ZTZTZ-TZYYY;US;0x56fc8;0;19709;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KGXRT-ZTZTZ-TZYYY;US;0x56fc8;0;19712;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KGXAT-ZTZTZ-TZYYY;US;0x56fc8;0;19714;0;0;0;0;143;30;30;40;2
US56F-C8ZTX-KGXHT-ZTZTZ-TZYYY;US;0x56fc8;0;19715;0;0;0;0;144;30;30;40;2
US56F-C8ZTX-KGRXT-ZTZTZ-TZYYY;US;0x56fc8;0;19721;0;0;0;0;144;30;30;40;2
US56F-C8ZTX-KGGXT-ZTZTZ-TZYYY;US;0x56fc8;0;19771;0;0;0;0;144;30;30;40;2
