ID,Country,Hash,Office,PDF,Autocad,Database,Image,Archive,Purchase total decrypt,Purchase malware immune,Purchase removal tool,Purchase single decrypt,Free decrypt
USF42-EAZTZ-TZTZT-ZTZYY,US,1000170,0,0,0,0,0,0,140,30,30,40,2
USF42-EAZTR-ZZZTZ-TZTZT-ZYYYY,US,1000170,0,2000,0,0,0,0,140,30,30,40,2
USF42-EAZTA-ZZZTZ-TZTZT-ZYYYY,US,1000170,0,4000,0,0,0,0,140,30,30,40,2
USF42-EAZTF-ZZZTZ-TZTZT-ZYYYY,US,1000170,0,6000,0,0,0,0,140,30,30,40,2
USF42-EAZTE-ZZZTZ-TZTZT-ZYYYY,US,1000170,0,8000,0,0,0,0,140,30,30,40,2
USF42-EAZTX-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,10000,0,0,0,0,140,30,30,40,2
USF42-EAZTX-RZZZT-ZTZTZ-TZYYY,US,1000170,0,12000,0,0,0,0,140,30,30,40,2
USF42-EAZTX-AZZZT-ZTZTZ-TZYYY,US,1000170,0,14000,0,0,0,0,140,30,30,40,2
USF42-EAZTX-FZZZT-ZTZTZ-TZYYY,US,1000170,0,16000,0,0,0,0,140,30,30,40,2
USF42-EAZTX-EZZZT-ZTZTZ-TZYYY,US,1000170,0,18000,0,0,0,0,140,30,30,40,2
USF42-EAZTR-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,20000,0,0,0,0,146,30,30,40,2
USF42-EAZTR-RZZZT-ZTZTZ-TZYYY,US,1000170,0,22000,0,0,0,0,156,30,30,40,2
USF42-EAZTR-AZZZT-ZTZTZ-TZYYY,US,1000170,0,24000,0,0,0,0,170,30,30,40,2
USF42-EAZTR-FZZZT-ZTZTZ-TZYYY,US,1000170,0,26000,0,0,0,0,184,30,30,40,2
USF42-EAZTR-EZZZT-ZTZTZ-TZYYY,US,1000170,0,28000,0,0,0,0,197,30,30,40,2
USF42-EAZTO-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,30000,0,0,0,0,211,30,30,40,2
USF42-EAZTO-RZZZT-ZTZTZ-TZYYY,US,1000170,0,32000,0,0,0,0,225,30,30,40,2
USF42-EAZTO-AZZZT-ZTZTZ-TZYYY,US,1000170,0,34000,0,0,0,0,239,30,30,40,2
USF42-EAZTO-FZZZT-ZTZTZ-TZYYY,US,1000170,0,36000,0,0,0,0,252,30,30,40,2
USF42-EAZTO-EZZZT-ZTZTZ-TZYYY,US,1000170,0,38000,0,0,0,0,266,30,30,40,2
USF42-EAZTA-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,40000,0,0,0,0,280,30,30,40,2
USF42-EAZTA-RZZZT-ZTZTZ-TZYYY,US,1000170,0,42000,0,0,0,0,294,30,30,40,2
USF42-EAZTA-AZZZT-ZTZTZ-TZYYY,US,1000170,0,44000,0,0,0,0,307,30,30,40,2
USF42-EAZTA-FZZZT-ZTZTZ-TZYYY,US,1000170,0,46000,0,0,0,0,321,30,30,40,2
USF42-EAZTA-EZZZT-ZTZTZ-TZYYY,US,1000170,0,48000,0,0,0,0,335,30,30,40,2
USF42-EAZTH-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,50000,0,0,0,0,348,30,30,40,2
USF42-EAZTH-RZZZT-ZTZTZ-TZYYY,US,1000170,0,52000,0,0,0,0,355,30,30,40,3
USF42-EAZTH-AZZZT-ZTZTZ-TZYYY,US,1000170,0,54000,0,0,0,0,368,30,30,40,3
USF42-EAZTH-FZZZT-ZTZTZ-TZYYY,US,1000170,0,56000,0,0,0,0,382,30,30,40,3
USF42-EAZTH-EZZZT-ZTZTZ-TZYYY,US,1000170,0,58000,0,0,0,0,395,30,30,40,3
USF42-EAZTF-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,60000,0,0,0,0,408,30,30,40,3
USF42-EAZTF-RZZZT-ZTZTZ-TZYYY,US,1000170,0,62000,0,0,0,0,422,30,30,40,3
USF42-EAZTF-AZZZT-ZTZTZ-TZYYY,US,1000170,0,64000,0,0,0,0,435,30,30,40,3
USF42-EAZTF-FZZZT-ZTZTZ-TZYYY,US,1000170,0,66000,0,0,0,0,449,30,30,40,3
USF42-EAZTF-EZZZT-ZTZTZ-TZYYY,US,1000170,0,68000,0,0,0,0,462,30,30,40,3
USF42-EAZTG-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,70000,0,0,0,0,476,30,30,40,3
USF42-EAZTG-RZZZT-ZTZTZ-TZYYY,US,1000170,0,72000,0,0,0,0,489,30,30,40,3
USF42-EAZTG-AZZZT-ZTZTZ-TZYYY,US,1000170,0,74000,0,0,0,0,503,30,30,40,4
USF42-EAZTG-FZZZT-ZTZTZ-TZYYY,US,1000170,0,76000,0,0,0,0,516,30,30,40,4
USF42-EAZTG-EZZZT-ZTZTZ-TZYYY,US,1000170,0,78000,0,0,0,0,529,30,30,40,4
USF42-EAZTE-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,80000,0,0,0,0,543,30,30,40,4
USF42-EAZTE-RZZZT-ZTZTZ-TZYYY,US,1000170,0,82000,0,0,0,0,556,30,30,40,4
USF42-EAZTE-AZZZT-ZTZTZ-TZYYY,US,1000170,0,84000,0,0,0,0,560,30,30,40,4
USF42-EAZTE-FZZZT-ZTZTZ-TZYYY,US,1000170,0,86000,0,0,0,0,560,30,30,40,4
USF42-EAZTE-EZZZT-ZTZTZ-TZYYY,US,1000170,0,88000,0,0,0,0,560,30,30,40,4
USF42-EAZTK-ZZZZT-ZTZTZ-TZYYY,US,1000170,0,90000,0,0,0,0,560,30,30,40,4
USF42-EAZTK-RZZZT-ZTZTZ-TZYYY,US,1000170,0,92000,0,0,0,0,560,30,30,40,4
USF42-EAZTK-AZZZT-ZTZTZ-TZYYY,US,1000170,0,94000,0,0,0,0,560,30,30,40,4
USF42-EAZTK-FZZZT-ZTZTZ-TZYYY,US,1000170,0,96000,0,0,0,0,560,30,30,40,4
USF42-EAZTK-EZZZT-ZTZTZ-TZYYY,US,1000170,0,98000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-ZZZZZ-TZTZT-ZTZYY,US,1000170,0,100000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-ZRZZZ-TZTZT-ZTZYY,US,1000170,0,102000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-ZAZZZ-TZTZT-ZTZYY,US,1000170,0,104000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-ZFZZZ-TZTZT-ZTZYY,US,1000170,0,106000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-ZEZZZ-TZTZT-ZTZYY,US,1000170,0,108000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-XZZZZ-TZTZT-ZTZYY,US,1000170,0,110000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-XRZZZ-TZTZT-ZTZYY,US,1000170,0,112000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-XAZZZ-TZTZT-ZTZYY,US,1000170,0,114000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-XFZZZ-TZTZT-ZTZYY,US,1000170,0,116000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-XEZZZ-TZTZT-ZTZYY,US,1000170,0,118000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-RZZZZ-TZTZT-ZTZYY,US,1000170,0,120000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-RRZZZ-TZTZT-ZTZYY,US,1000170,0,122000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-RAZZZ-TZTZT-ZTZYY,US,1000170,0,124000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-RFZZZ-TZTZT-ZTZYY,US,1000170,0,126000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-REZZZ-TZTZT-ZTZYY,US,1000170,0,128000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-OZZZZ-TZTZT-ZTZYY,US,1000170,0,130000,0,0,0,0,560,30,30,40,4
USF42-EAZTX-ORZZZ-TZTZT-ZTZYY,US,1000170,0,132000,0,0,0,0,560,30,30,40,4
