ID,Country,Hash,Office,PDF,Autocad,Database,Image,Archive,Purchase total decrypt,Purchase malware immune,Purchase removal tool,Purchase single decrypt,Free decrypt
USF42-EAZTZ-TZTZT-ZTZYY,US,1000170,0,0,0,0,0,0,140,30,30,40,2
USF42-EARZZ-ZTZTZ-TZTZT-ZYYYY,US,1000170,2000,0,0,0,0,0,140,30,30,40,2
USF42-EAAZZ-ZTZTZ-TZTZT-ZYYYY,US,1000170,4000,0,0,0,0,0,140,30,30,40,2
USF42-EAFZZ-ZTZTZ-TZTZT-ZYYYY,US,1000170,6000,0,0,0,0,0,140,30,30,40,2
USF42-EAEZZ-ZTZTZ-TZTZT-ZYYYY,US,1000170,8000,0,0,0,0,0,140,30,30,40,2
USF42-EAXZZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,10000,0,0,0,0,0,140,30,30,40,2
USF42-EAXRZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,12000,0,0,0,0,0,140,30,30,40,2
USF42-EAXAZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,14000,0,0,0,0,0,140,30,30,40,2
USF42-EAXFZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,16000,0,0,0,0,0,140,30,30,40,2
USF42-EAXEZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,18000,0,0,0,0,0,140,30,30,40,2
USF42-EARZZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,20000,0,0,0,0,0,146,30,30,40,2
USF42-EARRZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,22000,0,0,0,0,0,156,30,30,40,2
USF42-EARAZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,24000,0,0,0,0,0,170,30,30,40,2
USF42-EARFZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,26000,0,0,0,0,0,184,30,30,40,2
USF42-EAREZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,28000,0,0,0,0,0,197,30,30,40,2
USF42-EAOZZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,30000,0,0,0,0,0,211,30,30,40,2
USF42-EAORZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,32000,0,0,0,0,0,225,30,30,40,2
USF42-EAOAZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,34000,0,0,0,0,0,239,30,30,40,2
USF42-EAOFZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,36000,0,0,0,0,0,252,30,30,40,2
USF42-EAOEZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,38000,0,0,0,0,0,266,30,30,40,2
USF42-EAAZZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,40000,0,0,0,0,0,280,30,30,40,2
USF42-EAARZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,42000,0,0,0,0,0,294,30,30,40,2
USF42-EAAAZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,44000,0,0,0,0,0,307,30,30,40,2
USF42-EAAFZ-ZZTZT-ZTZTZ-TZYYY,US,1000170,46000,0,0,0,0,0,321,30,30,40,2
