ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
NOD3E-09XEZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;18000;0;0;0;0;0;140;30;30;40;2
NOD3E-09XEH-ZZTZT-ZTZTZ-TZYYY;NO;867849;18500;0;0;0;0;0;140;30;30;40;2
NOD3E-09XKZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;19000;0;0;0;0;0;140;30;30;40;2
NOD3E-09XKH-ZZTZT-ZTZTZ-TZYYY;NO;867849;19500;0;0;0;0;0;142;30;30;40;2
NOD3E-09RZZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;20000;0;0;0;0;0;146;30;30;40;2
NOD3E-09RZH-ZZTZT-ZTZTZ-TZYYY;NO;867849;20500;0;0;0;0;0;146;30;30;40;2
NOD3E-09RXZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;21000;0;0;0;0;0;149;30;30;40;2
NOD3E-09RXH-ZZTZT-ZTZTZ-TZYYY;NO;867849;21500;0;0;0;0;0;153;30;30;40;2
NOD3E-09RRZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;22000;0;0;0;0;0;156;30;30;40;2
NOD3E-09RRH-ZZTZT-ZTZTZ-TZYYY;NO;867849;22500;0;0;0;0;0;160;30;30;40;2
NOD3E-09ROZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;23000;0;0;0;0;0;163;30;30;40;2
NOD3E-09ROH-ZZTZT-ZTZTZ-TZYYY;NO;867849;23500;0;0;0;0;0;167;30;30;40;2
NOD3E-09RAZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;24000;0;0;0;0;0;170;30;30;40;2
NOD3E-09RAH-ZZTZT-ZTZTZ-TZYYY;NO;867849;24500;0;0;0;0;0;173;30;30;40;2
NOD3E-09RHZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;25000;0;0;0;0;0;177;30;30;40;2
NOD3E-09RHH-ZZTZT-ZTZTZ-TZYYY;NO;867849;25500;0;0;0;0;0;180;30;30;40;2
NOD3E-09RFZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;26000;0;0;0;0;0;184;30;30;40;2
NOD3E-09RFH-ZZTZT-ZTZTZ-TZYYY;NO;867849;26500;0;0;0;0;0;187;30;30;40;2
NOD3E-09RGZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;27000;0;0;0;0;0;191;30;30;40;2
NOD3E-09RGH-ZZTZT-ZTZTZ-TZYYY;NO;867849;27500;0;0;0;0;0;194;30;30;40;2
NOD3E-09REZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;28000;0;0;0;0;0;197;30;30;40;2
NOD3E-09REH-ZZTZT-ZTZTZ-TZYYY;NO;867849;28500;0;0;0;0;0;201;30;30;40;2
NOD3E-09RKZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;29000;0;0;0;0;0;204;30;30;40;2
NOD3E-09RKH-ZZTZT-ZTZTZ-TZYYY;NO;867849;29500;0;0;0;0;0;208;30;30;40;2
NOD3E-09OZZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;30000;0;0;0;0;0;211;30;30;40;2
NOD3E-09OZH-ZZTZT-ZTZTZ-TZYYY;NO;867849;30500;0;0;0;0;0;215;30;30;40;2
NOD3E-09OXZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;31000;0;0;0;0;0;218;30;30;40;2
NOD3E-09OXH-ZZTZT-ZTZTZ-TZYYY;NO;867849;31500;0;0;0;0;0;221;30;30;40;2
NOD3E-09ORZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;32000;0;0;0;0;0;225;30;30;40;2
NOD3E-09ORH-ZZTZT-ZTZTZ-TZYYY;NO;867849;32500;0;0;0;0;0;228;30;30;40;2
NOD3E-09OOZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;33000;0;0;0;0;0;232;30;30;40;2
NOD3E-09OOH-ZZTZT-ZTZTZ-TZYYY;NO;867849;33500;0;0;0;0;0;235;30;30;40;2
NOD3E-09OAZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;34000;0;0;0;0;0;239;30;30;40;2
NOD3E-09OAH-ZZTZT-ZTZTZ-TZYYY;NO;867849;34500;0;0;0;0;0;242;30;30;40;2
NOD3E-09OHZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;35000;0;0;0;0;0;245;30;30;40;2
NOD3E-09OHH-ZZTZT-ZTZTZ-TZYYY;NO;867849;35500;0;0;0;0;0;249;30;30;40;2
NOD3E-09OFZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;36000;0;0;0;0;0;252;30;30;40;2
NOD3E-09OFH-ZZTZT-ZTZTZ-TZYYY;NO;867849;36500;0;0;0;0;0;256;30;30;40;2
NOD3E-09OGZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;37000;0;0;0;0;0;259;30;30;40;2
NOD3E-09OGH-ZZTZT-ZTZTZ-TZYYY;NO;867849;37500;0;0;0;0;0;263;30;30;40;2
NOD3E-09OEZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;38000;0;0;0;0;0;266;30;30;40;2
NOD3E-09OEH-ZZTZT-ZTZTZ-TZYYY;NO;867849;38500;0;0;0;0;0;269;30;30;40;2
NOD3E-09OKZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;39000;0;0;0;0;0;273;30;30;40;2
NOD3E-09OKH-ZZTZT-ZTZTZ-TZYYY;NO;867849;39500;0;0;0;0;0;276;30;30;40;2
NOD3E-09AZZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;40000;0;0;0;0;0;280;30;30;40;2
NOD3E-09AZH-ZZTZT-ZTZTZ-TZYYY;NO;867849;40500;0;0;0;0;0;283;30;30;40;2
NOD3E-09AXZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;41000;0;0;0;0;0;287;30;30;40;2
NOD3E-09AXH-ZZTZT-ZTZTZ-TZYYY;NO;867849;41500;0;0;0;0;0;290;30;30;40;2
NOD3E-09ARZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;42000;0;0;0;0;0;294;30;30;40;2
NOD3E-09ARH-ZZTZT-ZTZTZ-TZYYY;NO;867849;42500;0;0;0;0;0;297;30;30;40;2
NOD3E-09AOZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;43000;0;0;0;0;0;300;30;30;40;2
NOD3E-09AOH-ZZTZT-ZTZTZ-TZYYY;NO;867849;43500;0;0;0;0;0;304;30;30;40;2
NOD3E-09AAZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;44000;0;0;0;0;0;307;30;30;40;2
NOD3E-09AAH-ZZTZT-ZTZTZ-TZYYY;NO;867849;44500;0;0;0;0;0;311;30;30;40;2
NOD3E-09AHZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;45000;0;0;0;0;0;314;30;30;40;2
NOD3E-09AHH-ZZTZT-ZTZTZ-TZYYY;NO;867849;45500;0;0;0;0;0;318;30;30;40;2
NOD3E-09AFZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;46000;0;0;0;0;0;321;30;30;40;2
NOD3E-09AFH-ZZTZT-ZTZTZ-TZYYY;NO;867849;46500;0;0;0;0;0;324;30;30;40;2
NOD3E-09AGZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;47000;0;0;0;0;0;328;30;30;40;2
NOD3E-09AGH-ZZTZT-ZTZTZ-TZYYY;NO;867849;47500;0;0;0;0;0;331;30;30;40;2
NOD3E-09AEZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;48000;0;0;0;0;0;335;30;30;40;2
NOD3E-09AEH-ZZTZT-ZTZTZ-TZYYY;NO;867849;48500;0;0;0;0;0;338;30;30;40;2
NOD3E-09AKZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;49000;0;0;0;0;0;342;30;30;40;2
NOD3E-09AKH-ZZTZT-ZTZTZ-TZYYY;NO;867849;49500;0;0;0;0;0;345;30;30;40;2
NOD3E-09HZZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;50000;0;0;0;0;0;348;30;30;40;2
NOD3E-09HZH-ZZTZT-ZTZTZ-TZYYY;NO;867849;50500;0;0;0;0;0;345;30;30;40;2
NOD3E-09HXZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;51000;0;0;0;0;0;348;30;30;40;2
NOD3E-09HXH-ZZTZT-ZTZTZ-TZYYY;NO;867849;51500;0;0;0;0;0;351;30;30;40;3
NOD3E-09HRZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;52000;0;0;0;0;0;355;30;30;40;3
NOD3E-09HRH-ZZTZT-ZTZTZ-TZYYY;NO;867849;52500;0;0;0;0;0;358;30;30;40;3
NOD3E-09HOZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;53000;0;0;0;0;0;361;30;30;40;3
NOD3E-09HOH-ZZTZT-ZTZTZ-TZYYY;NO;867849;53500;0;0;0;0;0;365;30;30;40;3
NOD3E-09HAZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;54000;0;0;0;0;0;368;30;30;40;3
NOD3E-09HAH-ZZTZT-ZTZTZ-TZYYY;NO;867849;54500;0;0;0;0;0;372;30;30;40;3
NOD3E-09HHZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;55000;0;0;0;0;0;375;30;30;40;3
NOD3E-09HHH-ZZTZT-ZTZTZ-TZYYY;NO;867849;55500;0;0;0;0;0;378;30;30;40;3
NOD3E-09HFZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;56000;0;0;0;0;0;382;30;30;40;3
NOD3E-09HFH-ZZTZT-ZTZTZ-TZYYY;NO;867849;56500;0;0;0;0;0;385;30;30;40;3
NOD3E-09HGZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;57000;0;0;0;0;0;388;30;30;40;3
NOD3E-09HGH-ZZTZT-ZTZTZ-TZYYY;NO;867849;57500;0;0;0;0;0;392;30;30;40;3
NOD3E-09HEZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;58000;0;0;0;0;0;395;30;30;40;3
NOD3E-09HEH-ZZTZT-ZTZTZ-TZYYY;NO;867849;58500;0;0;0;0;0;398;30;30;40;3
NOD3E-09HKZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;59000;0;0;0;0;0;402;30;30;40;3
NOD3E-09HKH-ZZTZT-ZTZTZ-TZYYY;NO;867849;59500;0;0;0;0;0;405;30;30;40;3
NOD3E-09FZZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;60000;0;0;0;0;0;408;30;30;40;3
NOD3E-09FZH-ZZTZT-ZTZTZ-TZYYY;NO;867849;60500;0;0;0;0;0;412;30;30;40;3
NOD3E-09FXZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;61000;0;0;0;0;0;415;30;30;40;3
NOD3E-09FXH-ZZTZT-ZTZTZ-TZYYY;NO;867849;61500;0;0;0;0;0;419;30;30;40;3
NOD3E-09FRZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;62000;0;0;0;0;0;422;30;30;40;3
NOD3E-09FRH-ZZTZT-ZTZTZ-TZYYY;NO;867849;62500;0;0;0;0;0;425;30;30;40;3
NOD3E-09FOZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;63000;0;0;0;0;0;429;30;30;40;3
NOD3E-09FOH-ZZTZT-ZTZTZ-TZYYY;NO;867849;63500;0;0;0;0;0;432;30;30;40;3
NOD3E-09FAZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;64000;0;0;0;0;0;435;30;30;40;3
NOD3E-09FAH-ZZTZT-ZTZTZ-TZYYY;NO;867849;64500;0;0;0;0;0;439;30;30;40;3
NOD3E-09FHZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;65000;0;0;0;0;0;442;30;30;40;3
NOD3E-09FHH-ZZTZT-ZTZTZ-TZYYY;NO;867849;65500;0;0;0;0;0;445;30;30;40;3
NOD3E-09FFZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;66000;0;0;0;0;0;449;30;30;40;3
NOD3E-09FFH-ZZTZT-ZTZTZ-TZYYY;NO;867849;66500;0;0;0;0;0;452;30;30;40;3
NOD3E-09FGZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;67000;0;0;0;0;0;456;30;30;40;3
NOD3E-09FGH-ZZTZT-ZTZTZ-TZYYY;NO;867849;67500;0;0;0;0;0;459;30;30;40;3
NOD3E-09FEZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;68000;0;0;0;0;0;462;30;30;40;3
NOD3E-09FEH-ZZTZT-ZTZTZ-TZYYY;NO;867849;68500;0;0;0;0;0;466;30;30;40;3
NOD3E-09FKZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;69000;0;0;0;0;0;469;30;30;40;3
NOD3E-09FKH-ZZTZT-ZTZTZ-TZYYY;NO;867849;69500;0;0;0;0;0;472;30;30;40;3
NOD3E-09GZZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;70000;0;0;0;0;0;476;30;30;40;3
NOD3E-09GZH-ZZTZT-ZTZTZ-TZYYY;NO;867849;70500;0;0;0;0;0;479;30;30;40;3
NOD3E-09GXZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;71000;0;0;0;0;0;482;30;30;40;3
NOD3E-09GXH-ZZTZT-ZTZTZ-TZYYY;NO;867849;71500;0;0;0;0;0;486;30;30;40;3
NOD3E-09GRZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;72000;0;0;0;0;0;489;30;30;40;3
NOD3E-09GRH-ZZTZT-ZTZTZ-TZYYY;NO;867849;72500;0;0;0;0;0;492;30;30;40;3
NOD3E-09GOZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;73000;0;0;0;0;0;496;30;30;40;3
NOD3E-09GOH-ZZTZT-ZTZTZ-TZYYY;NO;867849;73500;0;0;0;0;0;499;30;30;40;3
NOD3E-09GAZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;74000;0;0;0;0;0;503;30;30;40;4
NOD3E-09GAH-ZZTZT-ZTZTZ-TZYYY;NO;867849;74500;0;0;0;0;0;506;30;30;40;4
NOD3E-09GHZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;75000;0;0;0;0;0;509;30;30;40;4
NOD3E-09GHH-ZZTZT-ZTZTZ-TZYYY;NO;867849;75500;0;0;0;0;0;513;30;30;40;4
NOD3E-09GFZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;76000;0;0;0;0;0;516;30;30;40;4
NOD3E-09GFH-ZZTZT-ZTZTZ-TZYYY;NO;867849;76500;0;0;0;0;0;519;30;30;40;4
NOD3E-09GGZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;77000;0;0;0;0;0;523;30;30;40;4
NOD3E-09GGH-ZZTZT-ZTZTZ-TZYYY;NO;867849;77500;0;0;0;0;0;526;30;30;40;4
NOD3E-09GEZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;78000;0;0;0;0;0;529;30;30;40;4
NOD3E-09GEH-ZZTZT-ZTZTZ-TZYYY;NO;867849;78500;0;0;0;0;0;533;30;30;40;4
NOD3E-09GKZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;79000;0;0;0;0;0;536;30;30;40;4
NOD3E-09GKH-ZZTZT-ZTZTZ-TZYYY;NO;867849;79500;0;0;0;0;0;540;30;30;40;4
NOD3E-09EZZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;80000;0;0;0;0;0;543;30;30;40;4
NOD3E-09EZH-ZZTZT-ZTZTZ-TZYYY;NO;867849;80500;0;0;0;0;0;546;30;30;40;4
NOD3E-09EXZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;81000;0;0;0;0;0;550;30;30;40;4
NOD3E-09EXH-ZZTZT-ZTZTZ-TZYYY;NO;867849;81500;0;0;0;0;0;553;30;30;40;4
NOD3E-09ERZ-ZZTZT-ZTZTZ-TZYYY;NO;867849;82000;0;0;0;0;0;556;30;30;40;4
NOD3E-09ERH-ZZTZT-ZTZTZ-TZYYY;NO;867849;82500;0;0;0;0;0;560;30;30;40;4
