ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
AC133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AC;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AF133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AF;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AX133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AX;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AL133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AL;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
DZ133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;DZ;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AD133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AD;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AO133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AO;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AI133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AI;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AQ133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AQ;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AG133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AG;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AR133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AR;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AM133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AM;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AW133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AW;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AU133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AU;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AT133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AT;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
AZ133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;AZ;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BS133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BS;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BH133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BH;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BD133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BD;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BB133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BB;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BY133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BY;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BE133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BE;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BZ133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BZ;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BJ133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BJ;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BM133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BM;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BT133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BT;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BO133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BO;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
BA133-7FAHO-OTROR-FTXAK-EATAZ-EZXTK-HOTAA-KKRYY;BA;78719;4533;2326;14984;40801;953;44992;349;30;30;40;2
