ID;Country;Hash;Office;PDF;Autocad;Database;Image;Archive;Purchase total decrypt;Purchase malware immune;Purchase removal tool;Purchase single decrypt;Free decrypt
US53C-D8ARE-OGTAO-AOATO-HAXTX-XGRTX-HKAZT-XOOAX;US;343256;42837;43434;3541;1172;15940;13341;560;30;30;40;4
US554-F6XFG-AKTEZ-GOTOG-XEFTX-GFXAT-FEKXT-ROXOE;US;349430;16749;8073;37186;17614;6891;23138;485;30;30;40;3
USB58-F9ARE-AGTRE-XOZTA-EZFKT-FFAGT-OOZAH-TARKX-XYYYY;US;743673;42847;28130;48069;6647;33045;42911;560;30;30;40;4
USC98-49OOO-OHTAA-FEKTR-AHKAT-AXHHG-TRXXR-KTAGX-FFYYY;US;825417;33335;44689;24594;41557;21129;47166;560;30;30;40;4
US1C3-B0XOG-FFTFA-KOTXF-HAHTX-EZXRT-OHXHX-TRRRR-GYYYY;US;115632;13766;6493;16545;18012;35151;22227;407;30;30;40;3
USD2A-D1OKO-FGTXE-RHZTR-KFKET-AKOEX-TOEGG-XTORK-XXYYY;US;862929;39367;18250;29698;49381;38771;32911;560;30;30;40;4
US6D3-6DXXX-ZFTEH-XETAF-XXRTX-EOGOT-XOFFR-TRHOK-ZYYYY;US;447341;11106;8518;46112;18373;13662;25390;518;30;30;40;4
USEF3-92XFG-FHTEK-AFTAR-KXOTG-ORXTA-FXXTX-FZHOY;US;979858;16765;8946;42913;7321;4611;16053;477;30;30;40;3
US5BF-A4XKA-ZGTFE-XZTOZ-AFKTO-XHOZT-XHZHK-TAXAG-XYYYY;US;376740;19407;6810;30469;31530;15059;41471;545;30;30;40;4
US42C-8BRFO-ZTORH-ZKTRZ-KRTRR-ZGRTK-AZHTR-AKKOY;US;273547;2630;32509;2092;22072;9405;24993;389;30;30;40;3
USF49-35REE-GETXK-XRRTR-ROKHT-AHHRE-TREAG-KTXOG-ZOYYY;US;1001781;28878;19122;22395;45528;28479;13703;560;30;30;40;4
USAC5-AFARO-HGTFZ-RETXK-EKZTF-RAFTX-FXEZT-REKEF;US;705967;42357;6028;19890;6246;16180;28986;509;30;30;40;4
US25B-E1XOG-RFTRG-XOFTA-GGZFT-RFGKZ-TAZFA-XTXKF-GYYYY;US;154593;13726;27136;47706;26790;40641;1967;560;30;30;40;4
USB9E-B8GAF-RTGAH-ATOZG-GTOXK-GFTXF-ARKTA-XRAZY;US;761528;7462;7454;3077;31976;16429;41240;321;30;30;40;2
US41F-2FXHF-OGTOH-FAGTO-OOKAT-FFHOT-RHROZ-TOFFF;US;270127;15637;35647;33394;6653;25230;3666;560;30;30;40;4
USC92-7BARG-FZTRA-HKOTR-XRXXT-XHXRX-TOZOF-OTOKF-GYYYY;US;823931;42760;24593;21211;15121;30363;3967;560;30;30;40;4
